sent_id	sentence	typability_z	n_typists
1	1.5 million visitors will flood Atlanta each day of the Olympics.	-0.55412967389461	1603
2	2nd since so many people are out of the office until then.	0.50467379110722	1703
3	A Hungarian neuro surgeon said that medical supplies are low.	-0.619168370439678	1579
5	A bad thing has been turned into a good thing.	0.74124693725092	1717
6	A bit behind on my emails.	-0.00802961769647579	1723
7	A definitive basic law will be drawn up within a year.	-0.201278867087444	1723
8	A detailed organizational chart is attached.	-0.036888716460834	1662
10	A growing number of US households are joining the middle class.	0.00812873348320441	1669
11	A letter is being sent today.	0.725862963879446	1657
12	A parliamentary committee will collect the public's comments.	-0.587492573887241	1609
13	A report Thursday showed wholesale prices fell 0.1 percent in April.	-0.715522918308322	1622
14	A state supreme court judge is expected to rule on the issue shortly.	-0.0761453015680967	1662
15	A three-man inquiry team spent months investigating the allegations.	-0.27150251788356	1615
16	About 10 Jordanian doctors arrived at the hospital a few days ago.	-0.380474838102433	1652
17	About 20 were Americans, but there were also Dutch and Swiss.	-0.363217227706694	1630
18	Add a Star Trek convention and sports memorabilia show to the mix.	-0.416698990221039	1670
20	All our demographics indicate that is a family audience.	-0.168028956970828	1670
21	Allocations will be based on WIC allocations methods.	-0.140691008368985	1648
22	Also it appears no payment is required tomorrow.	0.0883709326824468	1659
24	Also, regarding the cash flow from Canada.	-0.16588355681171	1680
25	Although we are sending this e-mail to you, SportsLine.	-0.609911720751233	1629
26	Am I getting a good package?	-0.145621691474026	1640
27	Amy Felling should be your contact on the 19th.	-0.0997087099972966	1613
28	Amy was let go last Friday here along with another guy.	0.21014755390822	1620
29	Amy will be here to cover.	0.564269329757716	1649
30	Amy will no longer be here so I will be the only one working on this.	0.68552400357973	1706
31	An overwhelming majority do agree on the middle policy.	-0.171745006294163	1671
32	And I can't turn my phone on.	-0.375800533579583	1679
33	And if he's not, then he doesn't play.	-0.368415231302501	1599
34	And leave my school alone.	0.372539659171656	1666
35	And maybe for too long we've been underestimating ourselves.	-0.364934001832096	1635
36	Andy Fastow will be on a leave of absence from the company.	-0.188735114679299	1682
37	Another group of policemen was due to be deployed.	-0.237731091764592	1693
38	Antonio Guterres sent a message of condolences to Smith's widow.	-0.808428994938339	1545
39	Any other use is expressly prohibited.	-0.387020587593375	1570
40	Anything exciting going on today?	-0.158832788550015	1684
41	Apparently, BP is using the correct pricing.	-0.374363262071157	1674
42	Appointing Jeff as CFO is one important step in that process.	-0.39936004007747	1629
43	Are things better for you at home tonight?	0.50930755557081	1657
45	Are you back in town?	0.177025986779343	1666
46	Are you being a baby?	0.171888463106815	1699
47	Are you feeling better?	0.405727676773088	1686
48	Are you getting all the information you need?	0.770291828839068	1765
49	Are you going to apply?	0.271057620551407	1635
50	Are you going to call?	0.490968069087765	1688
51	Are you going to join us for lunch?	0.214296075962039	1605
52	Are you in a good mood?	0.225468259684873	1681
53	Are you in today?	0.0763429044095094	1639
54	Are you on the diet with me?	0.49565187578163	1586
55	Are you sure I don't need to be there?	0.23611021215897	1709
56	Argentina have called off their two football internationals in Japan.	-0.00622950038672302	1681
57	Arkansas called in 32 extra state police to the prison.	-0.38002624743785	1656
58	As for your second question, bench Mike Anderson.	-0.333666589692169	1656
59	As soon as I get it - I'll forward it to you.	-0.595053466949314	1585
60	As soon as anyone does that they can get nailed.	0.609067027732873	1668
61	As soon as we are done - we'll give you a call.	-0.275658844206502	1621
62	As they used to say of Gandhi, he was a mahatma, a great soul.	-0.568331859770918	1589
63	As usual, I will be as candid as I can.	-0.240868099450486	1680
64	At 17, he enlisted in the US Navy.	-0.90922742749424	1673
65	At least then one person in Denver would be able to get in.	0.436588452192588	1669
66	Ava please put it on my calendar.	-0.186626982280478	1677
67	Ava, do we need to worry about this?	0.238754412705269	1716
68	Ava, please put me on the list.	0.222582619952436	1672
69	Avoid starting either back in Week 10 if at all possible.	-0.185786592050557	1675
70	Baku's forces had for more than 24 hours been engaged in clashes.	-0.370124604077937	1664
71	Barry, hope that you had a great Christmas.	-0.247918026099444	1649
72	Be back tomorrow and maybe we can visit.	0.386295046429882	1681
73	Because there is traffic.	0.318072337427663	1802
74	Before I forget, there is one last change.	0.233385509299824	1743
75	Below is the intended version.	0.264792756732713	1698
76	Ben could tell him about Pompano.	-0.210252620905622	1714
77	Benjamin Gay and Jamel White shared carries in his place.	-0.223161075551303	1670
78	Best of luck and stay in touch.	0.44299225869524	1664
79	Between 0 and 4 are allowed.	-0.45314510435958	1659
80	Binoche welcomed the movie industry to the French riviera.	-0.605154008643815	1577
81	Board meeting running long.	0.307593946480658	1673
82	Bob, I'll pick San Diego as my winner.	-0.872160261223744	1626
83	Bob, I'll take Oakland as my winner this week.	-0.386977926210054	1655
85	Both have also promised higher salaries.	0.156287825103019	1704
86	Both leading candidates have promised to create jobs.	0.131339352250467	1709
87	Both of us are still here.	0.703315308220016	1763
88	Both sides had indicated interest in a cessation of hostilities	-0.113767812161337	1634
89	Bound to be some media flack on this.	0.59623629751295	1686
90	Boy, I couldn't write too much on this thing!	-0.580814463665471	1513
91	Bradford has yet to prove himself as a Fantasy player.	-0.262644330593963	1646
92	Brady only has five catches this season.	-0.0267965443805307	1699
93	Brcko had been proposed as another site for a safe area.	-0.234532281447729	1729
95	Brian is working this.	0.596434489400057	1743
96	Britain earlier organised an evacuation of non-Britons from Sanaa.	-0.973606996727866	1538
97	Budget allocation from Glisan has been postponed.	-0.445273921135055	1691
99	But I hope to see you at Kari's house.	-0.257422534178952	1701
100	But I would suspect that when Ricky can play, he'll play again.	-0.357204319763114	1624
101	But both reports were denied by the southern leadership.	0.0481775011154468	1706
102	But he added the list given was still incomplete.	0.318428857075587	1631
103	But he couldn't keep it up, coming home in 38.	-0.643692106419038	1599
104	But he is expected to play against the Raiders on Sunday night.	0.124043667968074	1705
105	But he vows to support any drivers who support the Pacers.	-0.0629301819446438	1722
106	But his father likes what he sees from his son's engine.	0.352827471335414	1731
107	But it takes time.	0.653999359520472	1704
108	But let me know which ones you don't get.	0.224108424174872	1657
109	But thank you for the offer.	0.851159966864995	1783
110	But the Chiefs might depend on the run, so his numbers may be limited.	-0.0308254565420338	1635
111	But the pact has not entirely calmed the nation's nerves.	0.0307750436975017	1587
112	But there have been so many changes in plans that I'm not surprised.	0.0766401070898958	1728
113	But they played down the prospect of a repeat performance.	-0.0221878590855626	1581
115	Call me anytime for information.	0.644356482740245	1663
116	Call me if you have any questions.	0.704510625776859	1697
117	Call me to give me a heads up.	0.412885617119415	1696
118	Can we have them until we move?	0.386721718075474	1689
120	Can you call me at home?	0.56465350654151	1661
121	Can you do the Gallup contracts as well?	-0.0650300136360405	1692
122	Can you get me the Calger letter done?	-0.0446744457022463	1659
123	Can you get with Mary and make sure?	0.335966853127002	1662
124	Can you help get this cleared up?	0.0708852392015804	1752
125	Can you help me here?	0.316462615527392	1704
126	Can you help with this one?	0.452652744168359	1650
127	Can you please review and get back to Tim?	0.0250943932029673	1730
128	Can you resend me the Doyle email from last week?	0.0524846334192931	1693
129	Can you rough out a slide on rating agencies?	0.0374308231837061	1640
130	Can you supplement the answer to the visa question?	0.00553429444703938	1653
131	Can you try this again?	0.333187464818121	1666
132	Can you wait until Monday?	-0.108908345434867	1642
133	Chad thought we were on a treasure hunt.	0.179577589015824	1708
134	Chambers is still too inconsistent to start for most Fantasy teams.	-0.21488441931003	1608
135	Charlie Garner will once again be Oakland's feature back.	-0.46616152795425	1688
136	Chase back office and their restart plan updates individually.	-0.0810858701260671	1624
138	China replaced three ministers on Thursday.	-0.241732821412163	1721
139	Chinese President defended the military crackdown on protesters.	-0.445848381587112	1625
141	Clinton attended the US college basketball finals.	-0.123873393114792	1655
142	Clinton has pressed for a multilateral lifting of the embargo.	-0.225629501468634	1634
143	Clinton on the other hand, had backed a plan to convince Europe.	-0.0928055382120273	1596
144	Clinton said Tuesday he would make an announcement by Thursday.	-0.33570469800273	1686
145	Coal switching to NG and power guys stimulating demand.	-0.493430211699753	1614
146	Come join the fun.	0.336957283872104	1707
148	Construction on the complex will begin this year.	0.305760931308989	1681
149	Contact Lisa Mellencamp on any issues regarding pending litigation.	-0.460615323881394	1616
150	Could you please let me know as soon as possible.	0.626131774467631	1640
151	Could you see where this stands?	0.455422385491827	1640
152	Could you try ringing her?	-0.0574830956266034	1661
154	Count me out for this round.	0.710784435153495	1652
155	Crestone won't have final measurement until next week.	-0.298761792076315	1612
156	Currently, we are focusing our resources on domestic sites.	-0.171991256247925	1572
157	David, Cindy and Mary will each report to the Office of the Chairman.	-0.221618993213829	1618
158	Davis was listed as questionable on the weekly injury report.	-0.0133877269158716	1583
159	Dayne and another second tier RB for one of the above.	-0.107385780824862	1606
160	Deportivo have won nothing in their history.	-0.289401434013636	1573
161	Derivatives are not new.	-0.317691591391928	1610
162	Did he get a signing bonus?	-0.335318477564375	1705
163	Did we get ours back?	-0.179142933972579	1657
164	Did we plan that?	0.131888217615119	1808
165	Did you differ from me?	0.129690875011654	1631
167	Did you get this?	0.298601232791685	1606
168	Did you mean Oxley?	-0.719880008750449	1623
169	Did you not read my first email?	0.0945870259509805	1708
171	Did you set up my corporate account for me?	-0.107659771372352	1650
172	Did you talk to Ava this morning?	0.145096353276653	1720
173	Did you tell Steve?	-0.387328628940892	1642
174	Diplomats are predicting that the embargo will remain in force.	0.0435136114544134	1717
175	Disney was great and I've been to eight baseball games.	-0.0162974646925838	1661
176	Do not send small, unsuspecting children to check on my progress.	-0.266213630401789	1641
177	Do we have New York sorted out?	-0.437218567871534	1539
178	Do we have anyone in Portland?	-0.0906556783887735	1636
179	Do we know what we need?	0.223470545893438	1680
180	Do we need to discuss?	0.00789591152528735	1716
181	Do we need to do anything here?	0.490552841144581	1717
182	Do you and George have a thing going?	-0.0171213931284913	1651
183	Do you have a number for him?	0.335307826385397	1714
186	Do you know anything?	0.20834711383741	1669
187	Do you know if this has been done yet?	0.45624131602648	1642
188	Do you need it today?	0.26427497580616	1663
189	Do you need to be there?	0.662421871563183	1549
190	Do you still need me to sign something?	0.479332796165218	1676
191	Do you want to eat lunch somewhere before?	0.0238207666566082	1536
192	Do you want to fax it to my hotel?	-0.0017344688648135	1624
193	Doctors gave him 10 years to live at most.	-0.00364873025193421	1659
194	Does Dan know about Julia changing groups?	-0.431689487975125	1604
195	Does Friday at 10 work for you?	-0.326492751153989	1586
196	Don't bother picking him up.	-0.244555528472735	1626
197	Don't bother to start him.	-0.131015590189202	1713
198	Don't expect Sanders to play anytime soon.	-0.362379690135239	1683
199	Don't forget the wood.	-0.0220502851453962	1703
200	Don't know how that happened.	-0.0152863724779594	1634
201	Don't make me pull tapes on whether you understood our fee.	-0.152224671245391	1555
202	Don't they have some conflicts here?	-0.0600762089541877	1635
203	Don't use Bennett this week.	-0.527712468988326	1727
204	Don't use him this week.	-0.0695319268595624	1618
205	Donovan McNabb is one of my starters.	-0.858958801848134	1603
206	Doug Chapman will likely get the start in Bennett s absence.	-0.74500423754402	1615
207	Drop him if he was on your Fantasy roster.	-0.147740906172139	1656
208	Drop him unless you play in a keeper league.	0.0213756321620192	1636
209	ENA is not purchasing Westport's gas at this time.	-0.627880182971959	1575
210	Eastwood dominated proceedings with his humour.	-0.414327908888751	1629
211	Ed Terry is in there twice.	-0.0279958485778712	1719
212	Edwards said Chrebet passed the various tests and scans he was given.	-0.477363822891963	1597
213	Els rocketed to his first European Tour victory back.	-0.711644834897137	1635
214	Email the consent to me.	0.675342086576442	1680
215	Emerson Fittipaldi has never had an engine this good.	-0.318830441913439	1602
216	England star Paul Gascoigne was one of the recipients of the loans.	-0.645125619108354	1613
217	Ernie Els was back to his best.	-0.257988864643576	1661
218	Estrada recently returned from Johannesburg.	-0.807081315643292	1680
219	Europe has lost a great ally.	-0.00907989174330159	1629
220	Evaluating a lease offer on Sonoran project.	-0.556200837211578	1685
221	Even if it were approved, Clinton could veto the measure.	-0.132916732774338	1714
222	Every Enron employee has an internet email address.	-0.336859424074206	1719
223	Expect him to be the Bears featured back for the rest of the year.	0.211826662708112	1698
224	Expect him to produce good numbers against New England.	-0.326565754160812	1600
226	FYI on the demand letter I signed earlier.	-0.124436702377591	1696
227	FYI, would she meet my requirements?	-0.683586364781169	1678
228	Fares shown are roundtrip.	-0.321951016186522	1645
229	Feel free to use Robinson if he doesn't suffer a setback.	-0.262179806296424	1611
230	Finally, I would delete the paragraph about lawyers.	-0.252743394138991	1642
231	Following are my comments.	0.35201327407564	1635
232	For safety reasons, the turkey will be carved in a private ceremony.	-0.279924700401997	1574
233	For those of you that have not signed up, please join us for the Walk.	0.144947479817406	1691
234	For those of you who have not paid please get your money tome soon.	0.20620926486875	1613
235	Foreign insurance firms can file applications to the ministry.	-0.00968375058100834	1667
236	Foreigners have now fled the country since fighting erupted.	-0.233207606567312	1619
237	France also was prepared to participate in a UN multinational force.	-0.225375047257084	1591
238	France would not join a US military invasion of Haiti.	-0.442593953012011	1630
239	French actress Juliette Binoche declared the festival open.	-0.766039249556578	1647
